
#
# Start of IEEE IAB registry data
#
40D8550D7	Avant Technologies
20918A	PROFALUX
8C3330	EmFirst Co., Ltd.
087BAA	SVYAZKOMPLEKTSERVICE, LLC
EC4993	Qihan Technology Co., Ltd
B0ACFA	FUJITSU LIMITED
8CE081	zte corporation
C88A83	Dongguan HuaHong Electronics Co.,Ltd
8CC5E1	ShenZhen Konka Telecommunication Technology Co.,Ltd
64A341	Wonderlan (Beijing) Technology Co., Ltd.
004D32	Andon Health Co.,Ltd.
24F2DD	Radiant Zemax LLC
20B5C6	Mimosa Networks
2C441B	Spectrum Medical Limited
B877C3	METER Group
FCA9B0	MIARTECH (SHANGHAI),INC.
A44E2D	Adaptive Wireless Solutions, LLC
A46E79	DFT System Co.Ltd
9C541C	Shenzhen My-power Technology Co.,Ltd
C44567	SAMBON PRECISON and ELECTRONICS
E45614	Suttle Apparatus
3C83B5	Advance Vision Electronics Co. Ltd.
28A192	GERP Solution
681CA2	Rosewill Inc.
604616	XIAMEN VANN INTELLIGENT CO., LTD
6C40C6	Nimbus Data, Inc.
1048B1	Beijing Duokan Technology Limited
0CCDFB	EDIC Systems Inc.
9C8D1A	INTEG process group inc
480362	DESAY ELECTRONICS(HUIZHOU)CO.,LTD
18673F	Hanover Displays Limited
7C0A50	J-MEX Inc.
106FEF	Ad-Sol Nissin Corp
5011EB	SilverNet Ltd
54DF63	Intrakey technologies GmbH
DC9FA4	Nokia Corporation
44C39B	OOO RUBEZH NPO
40F2E9	IBM
744D79	Arrive Systems Inc.
9C0473	Tecmobile (International) Ltd.
D493A0	Fidelix Oy
08EBED	World Elite Technology Co.,LTD
48F8B3	Cisco-Linksys, LLC
B4DFFA	Litemax Electronics Inc.
5C4A26	Enguity Technology Corp
D8D27C	JEMA ENERGY, SA
B01203	Dynamics Hong Kong Limited
9886B1	Flyaudio corporation (China)
7093F8	Space Monkey, Inc.
28B3AB	Genmark Automation
C4E7BE	SCSpro Co.,Ltd
58874C	LITE-ON CLEAN ENERGY TECHNOLOGY CORP.
2891D0	Stage Tec Entwicklungsgesellschaft für professionelle Audiotechnik mbH
C0BD42	ZPA Smart Energy a.s.
20DC93	Cheetah Hi-Tech, Inc.
2C625A	Finest Security Systems Co., Ltd
2074CF	Shenzhen Voxtech Co.,Ltd
FC52CE	Control iD
D8C691	Hichan Technology Corp.
E43FA2	Wuxi DSP Technologies Inc.
F4B72A	TIME INTERCONNECT LTD
E0F5CA	CHENG UEI PRECISION INDUSTRY CO.,LTD.
A8EF26	Tritonwave
5C2479	Baltech AG
D82DE1	Tricascade Inc.
14358B	Mediabridge Products, LLC.
00F403	Orbis Systems Oy
547398	Toyo Electronics Corporation
60F2EF	VisionVera International Co., Ltd.
C03F2A	Biscotti, Inc.
381C4A	SIMCom Wireless Solutions Co.,Ltd.
543968	Edgewater Networks Inc
440CFD	NetMan Co., Ltd.
8CD3A2	VisSim AS
EC9327	MEMMERT GmbH + Co. KG
C4393A	SMC Networks Inc
749975	IBM Corporation
881036	Panodic(ShenZhen) Electronics Limted
68B6FC	Hitron Technologies. Inc
60CBFB	AirScape Inc.
7C160D	Saia-Burgess Controls AG
A497BB	Hitachi Industrial Equipment Systems Co.,Ltd
4C5427	Linepro Sp. z o.o.
A4934C	Cisco Systems, Inc
D0D212	K2NET Co.,Ltd.
80D18B	Hangzhou I'converge Technology Co.,Ltd
4088E0	Beijing Ereneben Information Technology Limited Shenzhen Branch
E85484	NEO Information Systems Co., Ltd.
74AE76	iNovo Broadband, Inc.
1C8464	FORMOSA WIRELESS COMMUNICATION CORP.
64517E	LONG BEN (DONGGUAN) ELECTRONIC TECHNOLOGY CO.,LTD.
D43D7E	Micro-Star Int'l Co, Ltd
ACD9D6	tci GmbH
4423AA	Farmage Co., Ltd.
7CFE28	Salutron Inc.
E8102E	Really Simple Software, Inc
0C565C	HyBroad Vision (Hong Kong) Technology Co Ltd
8C6AE4	Viogem Limited
A0EF84	Seine Image Int'l Co., Ltd
E0A30F	Pevco
88DC96	EnGenius Technologies, Inc.
20443A	Schneider Electric Asia Pacific Ltd
ECA29B	Kemppi Oy
C4BA99	I+ME Actia Informatik und Mikro-Elektronik GmbH
04CE14	Wilocity LTD.
E8D483	ULTIMATE Europe Transportation Equipment GmbH
48282F	zte corporation
EC1A59	Belkin International Inc.
B0435D	NuLEDs, Inc.
0808EA	AMSC
B45570	Borea
100D2F	Online Security Pty. Ltd.
3C98BF	Quest Controls, Inc.
D0AEEC	Alpha Networks Inc.
F0FDA0	Acurix Networks Pty Ltd
346E8A	Ecosense
64F242	Gerdes Aktiengesellschaft
60F281	TRANWO TECHNOLOGY CO., LTD.
0CC0C0	MAGNETI MARELLI SISTEMAS ELECTRONICOS MEXICO
08379C	Topaz Co. LTD.
D80DE3	FXI TECHNOLOGIES AS
A0C3DE	Triton Electronic Systems Ltd.
142DF5	Amphitech
942197	Stalmart Technology Limited
B0D2F5	Vello Systems, Inc.
709A0B	Italian Institute of Technology
E81324	GuangZhou Bonsoninfo System CO.,LTD
D0699E	LUMINEX Lighting Control Equipment
5057A8	Cisco Systems, Inc
00DEFB	Cisco Systems, Inc
3CA315	Bless Information & Communications Co., Ltd
F83094	Alcatel-Lucent Telecom Limited
10A932	Beijing Cyber Cloud Technology Co. ,Ltd.
34FC6F	ALCEA
C0B357	Yoshiki Electronics Industry Ltd.
A81758	Elektronik System i Umeå AB
F473CA	Conversion Sound Inc.
F8F7FF	SYN-TECH SYSTEMS INC
E4C806	Ceiec Electric Technology Inc.
442B03	Cisco Systems, Inc
882012	LMI Technologies
E477D4	Minrray Industry Co.,Ltd
38E08E	Mitsubishi Electric Corporation
08B4CF	Abicom International
7C94B2	Philips Healthcare PCCI
E0F9BE	Cloudena Corp.
B88F14	Analytica GmbH
C495A2	SHENZHEN WEIJIU INDUSTRY AND TRADE DEVELOPMENT CO., LTD
8C6878	Nortek-AS
202598	Teleview
38F8B7	V2COM PARTICIPACOES S.A.
A04CC1	Helixtech Corp.
00376D	Murata Manufacturing Co., Ltd.
50008C	Hong Kong Telecommunications (HKT) Limited
A49005	CHINA GREATWALL COMPUTER SHENZHEN CO.,LTD
C40ACB	Cisco Systems, Inc
D4A02A	Cisco Systems, Inc
F8D462	Pumatronix Equipamentos Eletronicos Ltda.
A0DC04	Becker-Antriebe GmbH
40605A	Hawkeye Tech Co. Ltd
F48771	Infoblox
E86D6E	voestalpine Signaling UK Ltd.
681605	Systems And Electronic Development FZCO
60E956	Ayla Networks, Inc
EC1120	FloDesign Wind Turbine Corporation
F897CF	DAESHIN-INFORMATION TECHNOLOGY CO., LTD.
34A7BA	Fischer International Systems Corporation
3C4E47	Etronic A/S
0463E0	Nome Oy
B49EE6	SHENZHEN TECHNOLOGY CO LTD
BC4B79	SensingTek
5453ED	Sony Corporation
BCFE8C	Altronic, LLC
649EF3	Cisco Systems, Inc
24BBC1	Absolute Analysis
645563	Intelight Inc.
943AF0	Nokia Corporation
3CE624	LG Display
D8F0F2	Zeebo Inc
9CCAD9	Nokia Corporation
24B88C	Crenus Co.,Ltd.
88C36E	Beijing Ereneben lnformation Technology Limited
88E712	Whirlpool Corporation
D412BB	Quadrant Components Inc. Ltd
645422	Equinox Payments
080D84	GECO, Inc.
4C9E80	KYOKKO ELECTRIC Co., Ltd.
5CEB4E	R. STAHL HMI Systems GmbH
34AA99	Nokia
D8052E	Skyviia Corporation
80946C	TOKYO RADAR CORPORATION
306E5C	Validus Technologies
C894D2	Jiangsu Datang  Electronic Products Co., Ltd
C8A620	Nebula, Inc
FC946C	UBIVELOX
407B1B	Mettle Networks Inc.
40D559	MICRO S.E.R.I.
306CBE	Skymotion Technology (HK) Limited
183825	Wuhan Lingjiu High-tech Co.,Ltd.
7C4B78	Red Sun Synthesis Pte Ltd
64A0E7	Cisco Systems, Inc
644D70	dSPACE GmbH
D0CF5E	Energy Micro AS
DCC101	SOLiD Technologies, Inc.
1803FA	IBT Interfaces
046D42	Bryston Ltd.
D8E743	Wush, Inc
94E0D0	HealthStream Taiwan Inc.
DCF858	Lorent Networks, Inc.
940B2D	NetView Technologies(Shenzhen) Co., Ltd
803F5D	Winstars Technology Ltd
40BF17	Digistar Telecom. SA
780738	Z.U.K. Elzab S.A.
2037BC	Kuipers Electronic Engineering BV
806007	RIM
04D783	Y&H E&C Co.,LTD.
886B76	CHINA HOPEFUL GROUP HOPEFUL ELECTRIC CO.,LTD
78F7D0	Silverbrook Research
207600	Actiontec Electronics, Inc
F04B6A	Scientific Production Association Siberian Arsenal, Ltd.
64AE0C	Cisco Systems, Inc
E8DA96	Zhuhai Tianrui Electrical Power Tech. Co., Ltd.
F013C3	SHENZHEN FENDA TECHNOLOGY CO., LTD
04A82A	Nokia Corporation
489BE2	SCI Innovations Ltd
80FFA8	UNIDIS
B0E50E	NRG SYSTEMS INC
48C1AC	PLANTRONICS, INC.
98588A	SYSGRATION Ltd.
E878A1	BEOVIEW INTERCOM DOO
CCEF48	Cisco Systems, Inc
2437EF	EMC Electronic Media Communication SA
94319B	Alphatronics BV
E435FB	Sabre Technology (Hull) Ltd
C83B45	JRI
C058A7	Pico Systems Co., Ltd.
EC3F05	Institute 706, The Second Academy China Aerospace Science & Industry Corp
EC6264	Global411 Internet Services, LLC
00F051	KWB Gmbh
00E175	AK-Systems Ltd
CC501C	KVH Industries, Inc.
28B0CC	Xenya d.o.o.
205B5E	Shenzhen Wonhe Technology Co., Ltd
DC2E6A	HCT. Co., Ltd.
148A70	ADS GmbH
549478	Silvershore Technology Partners
1071F9	Cloud Telecomputers, LLC
B8621F	Cisco Systems, Inc
FCE892	Hangzhou Lancable Technology Co.,Ltd
D453AF	VIGO System S.A.
B4D8DE	iota Computing, Inc.
C8903E	Pakton Technologies
54CDA7	Fujian Shenzhou Electronic Co.,Ltd
18AD4D	Polostar Technology Corporation
94C6EB	NOVA electronics, Inc.
E44E18	Gardasoft VisionLimited
2046A1	VECOW Co., Ltd
FC01CD	FUNDACION TEKNIKER
A06E50	Nanotek Elektronik Sistemler Ltd. Sti.
84248D	Zebra Technologies Inc
9C8BF1	The Warehouse Limited
00B338	Kontron Asia Pacific Design Sdn. Bhd
B8288B	Parker Hannifin Manufacturing (UK) Ltd
90D11B	Palomar Medical Technologies
ECBD09	FUSION Electronics Ltd
944696	BaudTec Corporation
34A55D	TECHNOSOFT INTERNATIONAL SRL
4C774F	Embedded Wireless Labs
D0C282	Cisco Systems, Inc
147DB3	JOA TELECOM.CO.,LTD
3C2763	SLE quality engineering GmbH & Co. KG
B0F1BC	Dhemax Ingenieros Ltda
54847B	Digital Devices GmbH
C83232	Hunting Innova
F0022B	Chrontel
843F4E	Tri-Tech Manufacturing, Inc.
34BCA6	Beijing Ding Qing Technology, Ltd.
5835D9	Cisco Systems, Inc
64D912	Solidica, Inc.
C47B2F	Beijing JoinHope Image Technology Ltd.
704AAE	Xstream Flow (Pty) Ltd
40B3FC	Logital Co. Limited
508ACB	SHENZHEN MAXMADE TECHNOLOGY CO., LTD.
802E14	azeti Networks AG
D4C1FC	Nokia Corporation
3CD16E	Telepower Communication Co., Ltd
FC2E2D	Lorom Industrial Co.LTD.
40040C	A&T
DC3C84	Ticom Geomatics, Inc.
D0131E	Sunrex Technology Corp
7C4A82	Portsmith LLC
2C0033	EControls, LLC
AC199F	SUNGROW POWER SUPPLY CO.,LTD.
00FC70	Intrepid Control Systems, Inc.
703AD8	Shenzhen Afoundry Electronic Co., Ltd
88F077	Cisco Systems, Inc
B09928	FUJITSU LIMITED
04E1C8	IMS Soluções em Energia Ltda.
AC5E8C	Utillink
587521	CJSC RTSoft
948FEE	Verizon Telematics
50D6D7	Takahata Precision
94E848	FYLDE MICRO LTD
C40F09	Hermes electronic GmbH
48F47D	TechVision Holding  Internation Limited
F081AF	IRZ AUTOMATION TECHNOLOGIES LTD
701404	Limited Liability Company
1C35F1	NEW Lift Neue Elektronische Wege Steuerungsbau GmbH
F0AE51	Xi3 Corp
B80B9D	ROPEX Industrie-Elektronik GmbH
5070E5	He Shan World Fair Electronics Technology Limited
802275	Beijing Beny Wave Technology Co Ltd
983000	Beijing KEMACOM Technologies Co., Ltd.
90CF15	Nokia Corporation
948B03	EAGET Innovation and Technology Co., Ltd.
14A9E3	MST CORPORATION
5C0CBB	CELIZION Inc.
18E288	STT Condigi
B435F7	Zhejiang Pearmain Electronics Co.ltd.
9866EA	Industrial Control Communications, Inc.
24C86E	Chaney Instrument Co.
C4242E	Galvanic Applied Sciences Inc
F8EA0A	Dipl.-Math. Michael Rauch
803457	OT Systems Limited
CCF3A5	Chi Mei Communication Systems, Inc
306118	Paradom Inc.
4C7367	Genius Bytes Software Solutions GmbH
3831AC	WEG
584C19	Chongqing Guohong Technology Development Company Limited
6469BC	Hytera Communications Co .,ltd
B4F323	PETATEL INC.
14C21D	Sabtech Industries
40F4EC	Cisco Systems, Inc
14B73D	ARCHEAN Technologies
948D50	Beamex Oy Ab
A433D1	Fibrlink Communications Co.,Ltd.
FC10BD	Control Sistematizado S.A.
F0C27C	Mianyang Netop Telecom Equipment Co.,Ltd.
283410	Enigma Diagnostics Limited
0CE82F	Bonfiglioli Vectron GmbH
84D9C8	Unipattern Co.,
94AAB8	Joview(Beijing) Technology Co. Ltd.
28F358	2C - Trifonov & Co
301A28	Mako Networks Ltd
C88439	Sunrise Technologies
EC7D9D	CPI
C81E8E	ADV Security (S) Pte Ltd
F0BF97	Sony Corporation
C44AD0	FIREFLIES SYSTEMS
88E0A0	Shenzhen VisionSTOR Technologies Co., Ltd
90EA60	SPI Lasers Ltd
14F0C5	Xtremio Ltd.
E8C229	H-Displays (MSC) Bhd
3CA72B	MRV Communications (Networks) LTD
285132	Shenzhen Prayfly Technology Co.,Ltd
E42FF6	Unicore communication Inc.
A88792	Broadband Antenna Tracking Systems
04E662	Acroname Inc.
F87B8C	Amped Wireless
241A8C	Squarehead Technology AS
D44F80	Kemper Digital GmbH
A41BC0	Fastec Imaging Corporation
205B2A	Private
F40321	BeNeXt B.V.
A071A9	Nokia Corporation
A4E32E	Silicon & Software Systems Ltd.
5CBD9E	HONGKONG MIRACLE EAGLE TECHNOLOGY(GROUP) LIMITED
08E672	JEBSEE ELECTRONICS CO.,LTD.
B8E589	Payter BV
64DC01	Static Systems Group PLC
607688	Velodyne
C8C126	ZPM Industria e Comercio Ltda
64DE1C	Kingnetic Pte Ltd
4468AB	JUIN COMPANY, LIMITED
F81037	Atopia Systems, LP
78A683	Precidata
FC1FC0	EURECAM
A862A2	JIWUMEDIA CO., LTD.
984E97	Starlight Marketing (H. K.) Ltd.
78CD8E	SMC Networks Inc
2C8065	HARTING Inc. of North America
3CC0C6	d&b audiotechnik GmbH
F02572	Cisco Systems, Inc
04FF51	NOVAMEDIA INNOVISION SP. Z O.O.
4CB4EA	HRD (S) PTE., LTD.
D44C24	Vuppalamritha Magnetic Components LTD
8091C0	AgileMesh, Inc.
F8C678	Carefusion
6CAB4D	Digital Payment Technologies
2CB0DF	Soliton Technologies Pvt Ltd
ECE555	Hirschmann Automation
58F98E	SECUDOS GmbH
084EBF	Sumitomo Electric Industries, Ltd
AC02CF	RW Tecnologia Industria e Comercio Ltda
B4C44E	VXL eTech Pvt Ltd
707EDE	NASTEC LTD.
E05FB9	Cisco Systems, Inc
BC6784	Environics Oy
68DCE8	PacketStorm Communications
488E42	DIGALOG GmbH
B4749F	ASKEY COMPUTER CORP
7C4AA8	MindTree Wireless PVT Ltd
E0143E	Modoosis Inc.
C07E40	SHENZHEN XDK COMMUNICATION EQUIPMENT CO.,LTD
E44F29	MA Lighting Technology GmbH
D41296	Anobit Technologies Ltd.
0876FF	Thomson Telecom Belgium
349A0D	ZBD Displays Ltd
90D852	Comtec Co., Ltd.
380197	TSST Global,Inc
20AA25	IP-NET LLC
1C7C11	EID
48174C	MicroPower technologies
588D09	Cisco Systems, Inc
C0C1C0	Cisco-Linksys, LLC
90507B	Advanced PANMOBIL Systems GmbH & Co. KG
6015C7	IdaTech
1C83B0	Linked IP GmbH
A4D1D1	ECOtality North America
C49313	100fio networks technology llc
68597F	Alcatel Lucent
F065DD	Primax Electronics Ltd.
9433DD	Taco Inc
E0CF2D	Gemintek Corporation
C4EEF5	II-VI Incorporated
D491AF	Electroacustica General Iberica, S.A.
C4B512	General Electric Digital Energy
E02538	Titan Pet Products
CC7A30	CMAX Wireless Co., Ltd.
B88E3A	Infinite Technologies JLT
706582	Suzhou Hanming Technologies Co., Ltd.
7C3920	SSOMA SECURITY
9C77AA	NADASNV
58BC27	Cisco Systems, Inc
34D2C4	RENA GmbH Print Systeme
0034F1	Radicom Research, Inc.
DC2008	ASD Electronics Ltd
88ACC1	Generiton Co., Ltd.
8818AE	Tamron Co., Ltd
20D607	Nokia Corporation
206FEC	Braemac CA LLC
A45C27	Nintendo Co., Ltd.
6C0460	RBH Access Technologies Inc.
706417	ORBIS TECNOLOGIA ELECTRICA S.A.
B8BA72	Cynove
D4CBAF	Nokia Corporation
10E8EE	PhaseSpace
A47C1F	Cobham plc
D46CDA	CSM GmbH
5CD998	D-Link Corporation
100D32	Embedian, Inc.
7CED8D	Microsoft
6CE0B0	SOUND4
9CFFBE	OTSL Inc.
045D56	camtron industrial inc.
68234B	Nihon Dengyo Kousaku
A4BE61	EutroVision System, Inc.
18EF63	Cisco Systems, Inc
00F860	PT. Panggung Electric Citrabuana
1C3DE7	Sigma Koki Co.,Ltd.
A40CC3	Cisco Systems, Inc
4CBAA3	Bison Electronics Inc.
EC7C74	Justone Technologies Co., Ltd.
A8B1D4	Cisco Systems, Inc
CCFCB1	Wireless Technology, Inc.
3C1A79	Huayuan Technology CO.,LTD
8841C1	ORBISAT DA AMAZONIA IND E AEROL SA
9C7514	Wildix srl
4CF737	SamJi Electronics Co., Ltd
F0D767	Axema Passagekontroll AB
443D21	Nuvolt
30493B	Nanjing Z-Com Wireless Co.,Ltd
D07DE5	Forward Pay Systems, Inc.
84A991	Cyber Trans Japan Co.,Ltd.
68784C	Nortel Networks
9CF61A	Carrier Fire & Security
7CF098	Bee Beans Technologies, Inc.
EC66D1	B&W Group LTD
385FC3	Yu Jeong System, Co.Ltd
888B5D	Storage Appliance Corporation
78C6BB	Analog Devices, Inc.
04DD4C	Velocytech
F8D756	Simm Tronic Limited
C802A6	Beijing Newmine Technology
C84C75	Cisco Systems, Inc
4C8B55	Grupo Digicon
04A3F3	Emicon
1C17D3	Cisco Systems, Inc
7CE044	NEON Inc
284C53	Intune Networks
E86CDA	Supercomputers and Neurocomputers Research Center
240B2A	Viettel Group
84F64C	Cross Point BV
C08B6F	S I Sistemas Inteligentes Eletrônicos Ltda
64D02D	NEXT GENERATION INTEGRATION LIMITED (NGI)
90513F	Elettronica Santerno SpA
00B5D6	Omnibit Inc.
548922	Zelfy Inc
F86ECF	Arcx Inc
8C8401	Private
408493	Clavister AB
6C7039	Novar GmbH
6C5CDE	SunReports, Inc.
34F39B	WizLAN Ltd.
4C3089	Thales Transportation Systems GmbH
089F97	LEROY AUTOMATION
78A6BD	DAEYEON Control&Instrument Co,.Ltd
FCCF62	IBM Corp
084E1C	H2A Systems, LLC
88B627	Gembird Europe BV
F06853	Integrated Corporation
A4ADB8	Vitec Group, Camera Dynamics Ltd
3C1915	GFI Chrono Time
ECB106	Acuro Networks, Inc
481249	Luxcom Technologies Inc.
24A937	PURE Storage
348302	iFORCOM Co., Ltd
E02630	Intrigue Technologies, Inc.
B43DB2	Degreane Horizon
34BA51	Se-Kure Controls, Inc.
5C57C8	Nokia Corporation
D46CBF	Goodrich ISR
F89D0D	Control Technology Inc.
2C3F3E	Alge-Timing GmbH
147373	TUBITAK UEKAE
C835B8	Ericsson, EAB/RWI/K
ECC882	Cisco Systems, Inc
982D56	Resolution Audio
6CFDB9	Proware Technologies Co Ltd.
B42CBE	Direct Payment Solutions Limited
CC2218	InnoDigital Co., Ltd.
C86C1E	Display Systems Ltd
90A7C1	Pakedge Device and Software Inc.
80BAAC	TeleAdapt Ltd
C86CB6	Optcom Co., Ltd.
A01859	Shenzhen Yidashi Electronics Co Ltd
E8056D	Nortel Networks
C45976	Fugoo Coorporation
A4B121	Arantia 2010 S.L.
E02636	Nortel Networks
8C56C5	Nintendo Co., Ltd.
CCB888	AnB Securite s.a.
6C5E7A	Ubiquitous Internet Telecom Co., Ltd
104369	Soundmax Electronic Limited
C06C0F	Dobbs Stanford
502DF4	Phytec Messtechnik GmbH
2CCD27	Precor Inc
10189E	Elmo Motion Control
746B82	MOVEK
9CC077	PrintCounts, LLC
3CB17F	Wattwatchers Pty Ld
CC5459	OnTime Networks AS
D4F143	IPROAD.,Inc
601D0F	Midnite Solar
A8F94B	Eltex Enterprise Ltd.
0C8230	SHENZHEN MAGNUS TECHNOLOGIES CO.,LTD
34862A	Heinz Lackmann GmbH & Co KG
B4ED54	Wohler Technologies
F8DC7A	Variscite LTD
B8F732	Aryaka Networks Inc
E8DFF2	PRF Co., Ltd.
006440	Cisco Systems, Inc
5849BA	Chitai Electronic Corp.
00D11C	ACETEL
94C4E9	PowerLayer Microsystems HongKong Limited
8843E1	Cisco Systems, Inc
549A16	Uzushio Electric Co.,Ltd.
9018AE	Shanghai Meridian Technologies, Co. Ltd.
A4AD00	Ragsdale Technology
4C9EE4	Hanyang Navicom Co.,Ltd.
C47D4F	Cisco Systems, Inc
3CDF1E	Cisco Systems, Inc
50A6E3	David Clark Company
50934F	Gradual Tecnologia Ltda.
ACE348	MadgeTech, Inc
9C4E8E	ALT Systems Ltd
042BBB	PicoCELA, Inc.
FC0877	Prentke Romich Company
ECD00E	MiraeRecognition Co., Ltd.
7072CF	EdgeCore Networks
B8B1C7	BT&COM CO.,LTD
DC2C26	Iton Technology Limited
1C0FCF	Sypro Optics GmbH
0494A1	CATCH THE WIND INC
003A99	Cisco Systems, Inc
003A9A	Cisco Systems, Inc
003A98	Cisco Systems, Inc
D411D6	ShotSpotter, Inc.
9CAFCA	Cisco Systems, Inc
7C7BE4	Z'SEDAI KENKYUSHO CORPORATION
F0DE71	Shanghai EDO Technologies Co.,Ltd.
60D30A	Quatius Limited
24CF21	Shenzhen State Micro Technology Co., Ltd
10BAA5	GANA I&C CO., LTD
64BC11	CombiQ AB
EC3091	Cisco Systems, Inc
F4ACC1	Cisco Systems, Inc
4097D1	BK Electronics cc
0CE936	ELIMOS srl
60391F	ABB Ltd
E8A4C1	Deep Sea Electronics Ltd
64F970	Kenade Electronics Technology Co.,LTD.
C87248	Aplicom Oy
986DC8	TOSHIBA MITSUBISHI-ELECTRIC INDUSTRIAL SYSTEMS CORPORATION
6CAC60	Venetex Corp
F04BF2	JTECH Communications, Inc.
88A5BD	QPCOM INC.
80177D	Nortel Networks
C82E94	Halfa Enterprise Co., Ltd.
BC9DA5	DASCOM Europe GmbH
28FBD3	Ragentek Technology Group
586ED6	Private
C8D2C1	Jetlun (Shenzhen) Corporation
E09153	XAVi Technologies Corp.
002712	MaxVision LLC
D4C766	Acentic GmbH
A02EF3	United Integrated Services Co., Led.
A09805	OpenVox Communication Co Ltd
0026F3	SMC Networks
0026E7	Shanghai ONLAN Communication Tech. Co., Ltd.
00271F	MIPRO Electronics Co., Ltd
00270C	Cisco Systems, Inc
0026E0	ASITEQ
002703	Testech Electronics Pte Ltd
0026C5	Guangdong Gosun Telecommunications Co.,Ltd
0026C4	Cadmos microsystems S.r.l.
0026C8	System Sensor
0026C2	SCDI Co. LTD
002697	Alpha  Technologies Inc.
00268A	Terrier SC Ltd
0026A5	MICROROBOT.CO.,LTD
0026A3	FQ Ingenieria Electronica S.A.
00269D	M2Mnet Co., Ltd.
00267A	wuhan hongxin telecommunication technologies co.,ltd
002672	AAMP of America
002689	General Dynamics Robotic Systems
002685	Digital Innovation
0026CF	DEKA R&D
002664	Core System Japan
002659	Nintendo Co., Ltd.
002651	Cisco Systems, Inc
00264E	r2p GmbH
00264F	Krüger &Gothe GmbH
0026A9	Strong Technologies Pty Ltd
0025E9	i-mate Development, Inc.
0025E6	Belgian Monitoring Systems bvba
0025E0	CeedTec Sdn Bhd
0025DE	Probits Co., LTD.
0025CE	InnerSpace
0025C6	kasercorp, ltd
0025C5	Star Link Communication Pvt. Ltd.
0025C7	altek Corporation
0025FF	CreNova Multimedia Co., Ltd
002612	Space Exploration Technologies
002616	Rosemount Inc.
00260B	Cisco Systems, Inc
0025FD	OBR Centrum Techniki Morskiej S.A.
002600	TEAC Australia Pty Ltd.
0025F3	Nordwestdeutsche Zählerrevision
0025EC	Humanware
0025ED	NuVo Technologies LLC
002623	JRD Communication Inc
002627	Truesell
002621	InteliCloud Technology Inc.
00261C	NEOVIA INC.
002639	T.M. Electronics, Inc.
0025DD	SUNNYTEK INFORMATION CO., LTD.
0025B0	Schmartz Inc
0025AD	Manufacturing Resources International
0025AC	I-Tech corporation
0025AB	AIO LCD PC BU / TPV
0025BA	Alcatel-Lucent IPD
0025BB	INNERINT Co., Ltd.
0025B1	Maya-Creation Corporation
0025B8	Agile Communications, Inc.
0025A1	Enalasys
00259A	CEStronics GmbH
00254A	RingCube Technologies, Inc.
002583	Cisco Systems, Inc
00255D	Morningstar Corporation
002558	MPEDIA
002591	NEXTEK, Inc.
00258D	Haier
002571	Zhejiang Tianle Digital Electric Co.,Ltd
00254F	ELETTROLAB Srl
002549	Jeorich Tech. Co.,Ltd.
002539	IfTA GmbH
002537	Runcom Technologies Ltd.
002538	Samsung Electronics Co., Ltd., Memory Division
002544	LoJack Corporation
002532	Digital Recorders
0024F8	Technical Solutions Company Ltd.
0024F9	Cisco Systems, Inc
0024F2	Uniphone Telecommunication Co., Ltd.
002507	ASTAK Inc.
002502	NaturalPoint
00251A	Psiber Data Systems Inc.
002514	PC Worth Int'l Co., Ltd.
00250B	CENTROFACTOR  INC
002506	A.I. ANTITACCHEGGIO ITALIA SRL
0024EE	Wynmax Inc.
0024E3	CAO Group
00251C	EDT
002469	Fasttel - Smart Doorphones
002464	Bridge Technologies Co AS
002462	Rayzone Corporation
002475	Compass System(Embedded Dept.)
00246F	Onda Communication spa
00249D	NES Technology Inc.
00248E	Infoware ZRt.
002494	Shenzhen Baoxin Tech CO., Ltd.
0024E1	Convey Computer Corp.
0024D9	BICOM, Inc.
002489	Vodafone Omnitel N.V.
00247F	Nortel Networks
0024B5	Nortel Networks
0024B0	ESAB AB
0024C3	Cisco Systems, Inc
0024C4	Cisco Systems, Inc
0023FD	AFT Atlas Fahrzeugtechnik GmbH
0023EF	Zuend Systemtechnik AG
002413	Cisco Systems, Inc
00240E	Inventec Besta Co., Ltd.
002405	Dilog Nordic AB
002420	NetUP Inc.
00241E	Nintendo Co., Ltd.
00241F	DCT-Delta GmbH
0023E8	Demco Corp.
0023E3	Microtronic AG
002460	Giaval Science Development Co. Ltd.
00245C	Design-Com Technologies Pty. Ltd.
00244F	Asantron Technologies Ltd.
002444	Nintendo Co., Ltd.
00243D	Emerson Appliance Motors and Controls
002437	Motorola - BSG
00235B	Gulfstream
002359	Benchmark Electronics ( Thailand ) Public Company Limited
002357	Pitronot Technologies and Engineering P.T.E. Ltd.
002355	Kinco Automation(Shanghai) Ltd.
002373	GridIron Systems, Inc.
002367	UniControls a.s.
002368	Zebra Technologies Inc
00236E	Burster GmbH & Co KG
002366	Beijing Siasun Electronic System Co.,Ltd.
00239F	Institut für Prüftechnik
00239D	Mapower Electronics Co., Ltd
002398	Vutlan sro
0023DD	ELGIN S.A.
0023DE	Ansync Inc.
0023D9	Banner Engineering
0023DA	Industrial Computer Source (Deutschland)GmbH
0023D8	Ball-It Oy
00238F	NIDEC COPAL CORPORATION
0023AC	Cisco Systems, Inc
002380	Nanoteq
0023B7	Q-Light Co., Ltd.
00231E	Cezzer Multimedia Technologies
